OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
75,75,75,100,268000,95200,14.1,4000,
75,75,72,86.8608738,258000,105200,14,4000,
75,75,67,66.74944445,236000,121944,13.8,4000,
75,75,62,48.63860876,214000,142460,13.7,4000,
75,75,57,32.28326182,195000,160240,13.6,4000,
75,75,75,100,284000,95750,14.3,5000,
75,75,72,86.8608738,272000,110750,14.2,5000,
75,75,67,66.74944445,250000,132925,14,5000,
75,75,62,48.63860876,228000,157100,13.8,5000,
75,75,57,32.28326182,208000,178375,13.7,5000,
75,75,75,100,294000,95300,14.5,6000,
75,75,72,86.8608738,282000,112150,14.3,6000,
75,75,67,66.74944445,260000,141180,14.1,6000,
75,75,62,48.63860876,239000,169850,13.9,6000,
75,75,57,32.28326182,224000,199160,13.8,6000,
75,75,75,100,302000,96850,14.6,7000,
75,75,72,86.8608738,289000,114635,14.4,7000,
75,75,67,66.74944445,268000,149095,14.1,7000,
75,75,62,48.63860876,246000,181325,13.9,7000,
75,75,57,32.28326182,232000,204560,13.8,7000,
85,85,75,63.56878019,261000,120968,16,4000,
85,85,72,54.09934936,250000,128800,16,4000,
85,85,67,39.60494643,228000,155220,15.8,4000,
85,85,62,26.55238089,207000,176540,15.7,4000,
85,85,57,14.76500445,188000,194980,15.5,4000,
85,85,75,63.56878019,276000,127250,16.2,5000,
85,85,72,54.09934936,264000,148450,16.1,5000,
85,85,67,39.60494643,242000,174350,15.9,5000,
85,85,62,26.55238089,221000,199175,15.8,5000,
85,85,57,14.76500445,200000,216625,15.6,5000,
85,85,75,63.56878019,286000,132700,16.4,6000,
85,85,72,54.09934936,273000,157840,16.2,6000,
85,85,67,39.60494643,252000,190820,16,6000,
85,85,62,26.55238089,230000,220480,15.8,6000,
85,85,57,14.76500445,218000,242180,15.8,6000,
85,85,75,63.56878019,293000,150445,16.5,7000,
85,85,72,54.09934936,280000,170750,16.3,7000,
85,85,67,39.60494643,259000,207290,16.1,7000,
85,85,62,26.55238089,238000,241675,15.9,7000,
85,85,57,14.76500445,226000,252670,15.8,7000,
95,95,75,40.20910644,253000,168000,18.2,4000,
95,95,72,33.29467909,242000,178000,18.2,4000,
95,95,67,22.71109727,220000,188120,18,4000,
95,95,62,13.1803221,200000,210760,17.9,4000,
95,95,57,4.573367842,181000,229420,17.9,4000,
95,95,75,40.20910644,267000,188500,18.4,5000,
95,95,72,33.29467909,254000,194600,18.3,5000,
95,95,67,22.71109727,233000,216475,18.2,5000,
95,95,62,13.1803221,212000,242125,18,5000,
95,95,57,4.573367842,198000,264000,17.9,5000,
95,95,75,40.20910644,277000,208000,18.5,6000,
95,95,72,33.29467909,264000,207220,18.4,6000,
95,95,67,22.71109727,242000,243170,18.2,6000,
95,95,62,13.1803221,221000,273160,18.1,6000,
95,95,57,4.573367842,207000,281250,18,6000,
95,95,75,40.20910644,283000,215485,18.6,7000,
95,95,72,33.29467909,271000,228245,18.5,7000,
95,95,67,22.71109727,249000,267710,18.3,7000,
95,95,62,13.1803221,228000,301865,18.1,7000,
95,95,57,4.573367842,218000,296540,18,7000,
105,105,75,25.13447896,244000,207000,20.7,4000,
105,105,72,20.02318878,232000,219000,20.6,4000,
105,105,67,12.19958243,211000,221300,20.6,4000,
105,105,62,5.154232901,191000,245700,20.7,4000,
105,105,57,-1.208208779,174000,263700,20.8,4000,
105,105,75,25.13447896,257000,238500,20.8,5000,
105,105,72,20.02318878,244000,221125,20.8,5000,
105,105,67,12.19958243,223000,259500,20.6,5000,
105,105,62,5.154232901,203000,286250,20.6,5000,
105,105,57,-1.208208779,187000,298375,20.8,5000,
105,105,75,25.13447896,266000,271000,20.9,6000,
105,105,72,20.02318878,253000,258000,20.8,6000,
105,105,67,12.19958243,232000,294600,20.7,6000,
105,105,62,5.154232901,211000,325250,20.6,6000,
105,105,57,-1.208208779,200000,318800,20.7,6000,
105,105,75,25.13447896,272000,250600,21,7000,
105,105,72,20.02318878,260000,288000,20.9,7000,
105,105,67,12.19958243,238000,327775,20.7,7000,
105,105,62,5.154232901,218000,360775,20.6,7000,
105,105,57,-1.208208779,211000,336125,20.6,7000,
115,115,75,15.36478347,234000,247000,23.4,4000,
115,115,72,11.54235461,222000,259000,23.4,4000,
115,115,67,5.691546355,201000,256900,23.6,4000,
115,115,62,0.422749936,182000,279980,23.9,4000,
115,115,57,-4.335340464,166000,292900,24.3,4000,
115,115,75,15.36478347,246000,289500,23.5,5000,
115,115,72,11.54235461,233000,266075,23.4,5000,
115,115,67,5.691546355,212000,302625,23.5,5000,
115,115,62,0.422749936,193000,329550,23.7,5000,
115,115,57,-4.335340464,180000,330150,24,5000,
115,115,75,15.36478347,254000,303970,23.6,6000,
115,115,72,11.54235461,241000,309110,23.5,6000,
115,115,67,5.691546355,220000,346040,23.5,6000,
115,115,62,0.422749936,201000,376350,23.7,6000,
115,115,57,-4.335340464,192000,351390,23.8,6000,
115,115,75,15.36478347,260000,312820,23.7,7000,
115,115,72,11.54235461,247000,347295,23.6,7000,
115,115,67,5.691546355,227000,387685,23.5,7000,
115,115,62,0.422749936,207000,415990,23.7,7000,
115,115,57,-4.335340464,202000,369090,23.7,7000,
120,120,75,11.85222667,228000,267000,24.9,4000,
120,120,72,8.532960137,216000,257880,25.1,4000,
120,120,67,3.4523183,196000,275360,25.4,4000,
120,120,62,-1.12292436,178000,297880,25.7,4000,
120,120,57,-5.254687375,161000,308600,26.3,4000,
120,120,75,11.85222667,240000,315000,24.9,5000,
120,120,72,8.532960137,227000,288000,25,5000,
120,120,67,3.4523183,207000,324000,25.2,5000,
120,120,62,-1.12292436,188000,350200,25.5,5000,
120,120,57,-5.254687375,175000,342200,25.8,5000,
120,120,75,11.85222667,247000,288440,25,6000,
120,120,72,8.532960137,235000,336480,25,6000,
120,120,67,3.4523183,215000,371760,25.1,6000,
120,120,62,-1.12292436,195000,402400,25.4,6000,
120,120,57,-5.254687375,188000,367520,25.6,6000,
