OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP,BF
75,80,75,79.75271186257909,268000.0,109000.0,14.1,4000,1983.7765363128492,0.0
75,80,72,68.61710395182742,258000.0,119000.0,14.0,4000,1983.7765363128492,0.0
75,80,67,51.57236381040482,236000.0,141000.0,13.8,4000,1983.7765363128492,0.09
75,80,62,36.22315701468787,214000.0,161000.0,13.7,4000,1983.7765363128492,0.15
75,80,57,22.36175344552283,195000.0,179000.0,13.6,4000,1948.3519553072624,0.14
75,80,75,79.75271186257909,284000.0,113000.0,14.3,5000,2448.463687150838,0.0
75,80,72,68.61710395182742,272000.0,128000.0,14.2,5000,2408.8715083798884,0.0
75,80,67,51.57236381040482,250000.0,155000.0,14.0,5000,2408.8715083798884,0.19
75,80,62,36.22315701468787,228000.0,180000.0,13.8,5000,2408.8715083798884,0.16
75,80,57,22.36175344552283,208000.0,201000.0,13.7,5000,2371.3631284916205,0.17
75,80,75,79.75271186257909,294000.0,116000.0,14.5,6000,2958.994413407821,0.0
75,80,72,68.61710395182742,282000.0,136000.0,14.3,6000,2958.994413407821,0.27
75,80,67,51.57236381040482,260000.0,168000.0,14.1,6000,2917.31843575419,0.18
75,80,62,36.22315701468787,239000.0,197000.0,13.9,6000,2917.31843575419,0.17
75,80,57,22.36175344552283,224000.0,224000.0,13.8,6000,2917.31843575419,0.24
75,80,75,79.75271186257909,302000.0,121000.0,14.6,7000,3538.290502793296,0.0
75,80,72,68.61710395182742,289000.0,144000.0,14.4,7000,3538.290502793296,0.23
75,80,67,51.57236381040482,268000.0,180000.0,14.1,7000,3492.446927374302,0.19
75,80,62,36.22315701468787,246000.0,213000.0,13.9,7000,3492.446927374302,0.17
75,80,57,22.36175344552283,232000.0,232000.0,13.8,7000,3492.446927374302,0.28
85,80,75,79.75271186257909,261000.0,106000.0,16.0,4000,1983.7765363128492,0.02
85,80,72,68.61710395182742,250000.0,115000.0,16.0,4000,1983.7765363128492,0.0
85,80,67,51.57236381040482,228000.0,138000.0,15.8,4000,1983.7765363128492,0.21
85,80,62,36.22315701468787,207000.0,158000.0,15.7,4000,1948.3519553072624,0.15
85,80,57,22.36175344552283,188000.0,176000.0,15.5,4000,1948.3519553072624,0.13
85,80,75,79.75271186257909,276000.0,110000.0,16.2,5000,2408.8715083798884,0.0
85,80,72,68.61710395182742,264000.0,125000.0,16.1,5000,2408.8715083798884,0.14
85,80,67,51.57236381040482,242000.0,152000.0,15.9,5000,2408.8715083798884,0.18
85,80,62,36.22315701468787,221000.0,176000.0,15.8,5000,2408.8715083798884,0.15
85,80,57,22.36175344552283,200000.0,194000.0,15.6,5000,2371.3631284916205,0.17
85,80,75,79.75271186257909,286000.0,112000.0,16.4,6000,2958.994413407821,0.0
85,80,72,68.61710395182742,273000.0,133000.0,16.2,6000,2917.31843575419,0.24
85,80,67,51.57236381040482,252000.0,164000.0,16.0,6000,2917.31843575419,0.18
85,80,62,36.22315701468787,230000.0,193000.0,15.8,6000,2917.31843575419,0.16
85,80,57,22.36175344552283,218000.0,218000.0,15.8,6000,2917.31843575419,0.26
85,80,75,79.75271186257909,293000.0,118000.0,16.5,7000,3538.290502793296,0.15
85,80,72,68.61710395182742,280000.0,141000.0,16.3,7000,3492.446927374302,0.22
85,80,67,51.57236381040482,259000.0,176000.0,16.1,7000,3492.446927374302,0.18
85,80,62,36.22315701468787,238000.0,210000.0,15.9,7000,3492.446927374302,0.17
85,80,57,22.36175344552283,226000.0,226000.0,15.8,7000,3492.446927374302,0.3
95,80,75,79.75271186257909,253000.0,102000.0,18.2,4000,1983.7765363128492,0.0
95,80,72,68.61710395182742,242000.0,112000.0,18.2,4000,1983.7765363128492,0.0
95,80,67,51.57236381040482,220000.0,134000.0,18.0,4000,1983.7765363128492,0.18
95,80,62,36.22315701468787,200000.0,154000.0,17.9,4000,1948.3519553072624,0.14
95,80,57,22.36175344552283,181000.0,172000.0,17.9,4000,1948.3519553072624,0.13
95,80,75,79.75271186257909,267000.0,106000.0,18.4,5000,2408.8715083798884,0.0
95,80,72,68.61710395182742,254000.0,122000.0,18.3,5000,2408.8715083798884,0.12
95,80,67,51.57236381040482,233000.0,148000.0,18.2,5000,2408.8715083798884,0.17
95,80,62,36.22315701468787,212000.0,172000.0,18.0,5000,2408.8715083798884,0.15
95,80,57,22.36175344552283,198000.0,198000.0,17.9,5000,2371.3631284916205,0.2
95,80,75,79.75271186257909,277000.0,109000.0,18.5,6000,2917.31843575419,0.0
95,80,72,68.61710395182742,264000.0,130000.0,18.4,6000,2917.31843575419,0.22
95,80,67,51.57236381040482,242000.0,161000.0,18.2,6000,2917.31843575419,0.17
95,80,62,36.22315701468787,221000.0,190000.0,18.1,6000,2917.31843575419,0.16
95,80,57,22.36175344552283,207000.0,207000.0,18.0,6000,2873.558659217877,0.25
95,80,75,79.75271186257909,283000.0,115000.0,18.6,7000,3538.290502793296,0.13
95,80,72,68.61710395182742,271000.0,137000.0,18.5,7000,3492.446927374302,0.21
95,80,67,51.57236381040482,249000.0,173000.0,18.3,7000,3492.446927374302,0.18
95,80,62,36.22315701468787,228000.0,206000.0,18.1,7000,3492.446927374302,0.17
95,80,57,22.36175344552283,218000.0,218000.0,18.0,7000,3492.446927374302,0.32
105,80,75,79.75271186257909,244000.0,97000.0,20.7,4000,1983.7765363128492,0.0
105,80,72,68.61710395182742,232000.0,109000.0,20.6,4000,1983.7765363128492,0.0
105,80,67,51.57236381040482,211000.0,130000.0,20.6,4000,1983.7765363128492,0.17
105,80,62,36.22315701468787,191000.0,150000.0,20.7,4000,1948.3519553072624,0.13
105,80,57,22.36175344552283,174000.0,168000.0,20.8,4000,1948.3519553072624,0.13
105,80,75,79.75271186257909,257000.0,101000.0,20.8,5000,2408.8715083798884,0.0
105,80,72,68.61710395182742,244000.0,118000.0,20.8,5000,2408.8715083798884,0.25
105,80,67,51.57236381040482,223000.0,144000.0,20.6,5000,2408.8715083798884,0.16
105,80,62,36.22315701468787,203000.0,168000.0,20.6,5000,2371.3631284916205,0.14
105,80,57,22.36175344552283,187000.0,187000.0,20.8,5000,2371.3631284916205,0.19
105,80,75,79.75271186257909,266000.0,106000.0,20.9,6000,2917.31843575419,0.0
105,80,72,68.61710395182742,253000.0,126000.0,20.8,6000,2917.31843575419,0.2
105,80,67,51.57236381040482,232000.0,156000.0,20.7,6000,2917.31843575419,0.16
