OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP,BF
75,80,75,79.75271186257909,265000.0,96000.0,14.0,4000,1983.7765363128492,0.0
75,80,72,68.61710395182742,249000.0,109000.0,13.8,4000,1983.7765363128492,0.02
75,80,67,51.57236381040482,223000.0,126000.0,13.6,4000,1983.7765363128492,0.09
75,80,62,36.22315701468787,204000.0,147000.0,13.5,4000,1948.3519553072624,0.1
75,80,57,22.36175344552283,184000.0,166000.0,13.4,4000,1948.3519553072624,0.1
75,80,75,79.75271186257909,285000.0,107000.0,14.1,5000,2448.463687150838,0.0
75,80,72,68.61710395182742,269000.0,121000.0,14.0,5000,2408.8715083798884,0.08
75,80,67,51.57236381040482,239000.0,140000.0,13.7,5000,2408.8715083798884,0.11
75,80,62,36.22315701468787,220000.0,168000.0,13.6,5000,2408.8715083798884,0.12
75,80,57,22.36175344552283,199000.0,191000.0,13.5,5000,2371.3631284916205,0.12
75,80,75,79.75271186257909,293000.0,109000.0,14.2,6000,2958.994413407821,0.03
75,80,72,68.61710395182742,277000.0,126000.0,14.0,6000,2917.31843575419,0.11
75,80,67,51.57236381040482,251000.0,153000.0,13.8,6000,2917.31843575419,0.13
75,80,62,36.22315701468787,232000.0,186000.0,13.7,6000,2917.31843575419,0.14
75,80,57,22.36175344552283,212000.0,209000.0,13.6,6000,2917.31843575419,0.19
75,80,75,79.75271186257909,303000.0,115000.0,14.3,7000,3538.290502793296,0.08
75,80,72,68.61710395182742,286000.0,134000.0,14.1,7000,3538.290502793296,0.14
75,80,67,51.57236381040482,260000.0,166000.0,13.9,7000,3492.446927374302,0.15
75,80,62,36.22315701468787,236000.0,197000.0,13.7,7000,3492.446927374302,0.15
75,80,57,22.36175344552283,222000.0,222000.0,13.6,7000,3492.446927374302,0.25
85,80,75,79.75271186257909,249000.0,83000.0,15.5,4000,1983.7765363128492,0.0
85,80,72,68.61710395182742,234000.0,96000.0,15.4,4000,1983.7765363128492,0.03
85,80,67,51.57236381040482,201000.0,106000.0,15.1,4000,1948.3519553072624,0.09
85,80,62,36.22315701468787,193000.0,139000.0,15.1,4000,1948.3519553072624,0.1
85,80,57,22.36175344552283,173000.0,157000.0,15.0,4000,1948.3519553072624,0.1
85,80,75,79.75271186257909,265000.0,91000.0,15.7,5000,2408.8715083798884,0.01
85,80,72,68.61710395182742,250000.0,105000.0,15.5,5000,2408.8715083798884,0.09
85,80,67,51.57236381040482,219000.0,123000.0,15.2,5000,2408.8715083798884,0.12
85,80,62,36.22315701468787,207000.0,157000.0,15.2,5000,2371.3631284916205,0.12
85,80,57,22.36175344552283,187000.0,179000.0,15.1,5000,2371.3631284916205,0.14
85,80,75,79.75271186257909,277000.0,97000.0,15.8,6000,2917.31843575419,0.05
85,80,72,68.61710395182742,262000.0,114000.0,15.6,6000,2917.31843575419,0.12
85,80,67,51.57236381040482,240000.0,145000.0,15.4,6000,2917.31843575419,0.13
85,80,62,36.22315701468787,214000.0,170000.0,15.2,6000,2917.31843575419,0.14
85,80,57,22.36175344552283,199000.0,197000.0,15.1,6000,2873.558659217877,0.2
85,80,75,79.75271186257909,286000.0,102000.0,15.9,7000,3538.290502793296,0.1
85,80,72,68.61710395182742,270000.0,122000.0,15.7,7000,3492.446927374302,0.14
85,80,67,51.57236381040482,248000.0,157000.0,15.5,7000,3492.446927374302,0.15
85,80,62,36.22315701468787,226000.0,191000.0,15.3,7000,3492.446927374302,0.15
85,80,57,22.36175344552283,212000.0,212000.0,15.3,7000,3492.446927374302,0.26
95,80,75,79.75271186257909,235000.0,72000.0,17.3,4000,1983.7765363128492,0.0
95,80,72,68.61710395182742,222000.0,87000.0,17.2,4000,1983.7765363128492,0.05
95,80,67,51.57236381040482,201000.0,108000.0,17.0,4000,1948.3519553072624,0.1
95,80,62,36.22315701468787,177000.0,125000.0,16.8,4000,1948.3519553072624,0.1
95,80,57,22.36175344552283,162000.0,148000.0,16.7,4000,1948.3519553072624,0.1
95,80,75,79.75271186257909,251000.0,80000.0,17.5,5000,2408.8715083798884,0.02
95,80,72,68.61710395182742,237000.0,95000.0,17.3,5000,2408.8715083798884,0.1
95,80,67,51.57236381040482,214000.0,121000.0,17.1,5000,2408.8715083798884,0.12
95,80,62,36.22315701468787,192000.0,145000.0,16.9,5000,2371.3631284916205,0.12
95,80,57,22.36175344552283,177000.0,170000.0,16.9,5000,2371.3631284916205,0.16
95,80,75,79.75271186257909,262000.0,86000.0,17.6,6000,2917.31843575419,0.07
95,80,72,68.61710395182742,247000.0,103000.0,17.4,6000,2917.31843575419,0.12
95,80,67,51.57236381040482,223000.0,132000.0,17.2,6000,2917.31843575419,0.13
95,80,62,36.22315701468787,204000.0,163000.0,17.0,6000,2873.558659217877,0.14
95,80,57,22.36175344552283,188000.0,188000.0,17.0,6000,2873.558659217877,0.2
95,80,75,79.75271186257909,270000.0,90000.0,17.7,7000,3492.446927374302,0.1
95,80,72,68.61710395182742,255000.0,110000.0,17.5,7000,3492.446927374302,0.14
95,80,67,51.57236381040482,231000.0,144000.0,17.3,7000,3492.446927374302,0.15
95,80,62,36.22315701468787,210000.0,179000.0,17.1,7000,3444.519553072626,0.16
95,80,57,22.36175344552283,199000.0,199000.0,17.0,7000,3444.519553072626,0.28
105,80,75,79.75271186257909,221000.0,61000.0,19.3,4000,1983.7765363128492,0.0
105,80,72,68.61710395182742,207000.0,75000.0,19.2,4000,1948.3519553072624,0.07
105,80,67,51.57236381040482,186000.0,97000.0,19.0,4000,1948.3519553072624,0.1
105,80,62,36.22315701468787,167000.0,118000.0,18.9,4000,1948.3519553072624,0.1
105,80,57,22.36175344552283,150000.0,138000.0,18.8,4000,1948.3519553072624,0.11
105,80,75,79.75271186257909,226000.0,58000.0,19.3,5000,2408.8715083798884,0.03
105,80,72,68.61710395182742,220000.0,82000.0,19.3,5000,2408.8715083798884,0.1
105,80,67,51.57236381040482,199000.0,109000.0,19.2,5000,2371.3631284916205,0.12
105,80,62,36.22315701468787,176000.0,132000.0,18.9,5000,2371.3631284916205,0.12
105,80,57,22.36175344552283,163000.0,158000.0,18.9,5000,2371.3631284916205,0.17
105,80,75,79.75271186257909,246000.0,72000.0,19.6,6000,2917.31843575419,0.08
105,80,72,68.61710395182742,231000.0,90000.0,19.4,6000,2917.31843575419,0.12
105,80,67,51.57236381040482,209000.0,121000.0,19.2,6000,2873.558659217877,0.14
105,80,62,36.22315701468787,189000.0,151000.0,19.1,6000,2873.558659217877,0.14
105,80,57,22.36175344552283,176000.0,176000.0,19.0,6000,2873.558659217877,0.22
105,80,75,79.75271186257909,214000.0,38000.0,19.0,7000,3492.446927374302,0.11
105,80,72,68.61710395182742,238000.0,97000.0,19.5,7000,3492.446927374302,0.14
105,80,67,51.57236381040482,215000.0,131000.0,19.3,7000,3492.446927374302,0.15
105,80,62,36.22315701468787,196000.0,168000.0,19.1,7000,3444.519553072626,0.16
105,80,57,22.36175344552283,181000.0,181000.0,19.0,7000,3444.519553072626,0.3
115,80,75,79.75271186257909,205000.0,50000.0,21.6,4000,1948.3519553072624,0.0
115,80,72,68.61710395182742,191000.0,63000.0,21.5,4000,1948.3519553072624,0.08
115,80,67,51.57236381040482,170000.0,84000.0,21.3,4000,1948.3519553072624,0.1
115,80,62,36.22315701468787,150000.0,104000.0,21.1,4000,1948.3519553072624,0.1
115,80,57,22.36175344552283,136000.0,126000.0,21.1,4000,1948.3519553072624,0.11
115,80,75,79.75271186257909,219000.0,55000.0,21.7,5000,2408.8715083798884,0.04
115,80,72,68.61710395182742,205000.0,71000.0,21.6,5000,2371.3631284916205,0.11
115,80,67,51.57236381040482,184000.0,97000.0,21.4,5000,2371.3631284916205,0.12
115,80,62,36.22315701468787,165000.0,124000.0,21.3,5000,2371.3631284916205,0.12
115,80,57,22.36175344552283,151000.0,147000.0,21.2,5000,2371.3631284916205,0.18
115,80,75,79.75271186257909,199000.0,31000.0,21.4,6000,2873.558659217877,0.09
115,80,72,68.61710395182742,215000.0,78000.0,21.7,6000,2917.31843575419,0.13
115,80,67,51.57236381040482,192000.0,108000.0,21.5,6000,2873.558659217877,0.14
115,80,62,36.22315701468787,173000.0,140000.0,21.4,6000,2873.558659217877,0.14
115,80,57,22.36175344552283,157000.0,157000.0,21.2,6000,2873.558659217877,0.24
115,80,75,79.75271186257909,222000.0,50000.0,21.6,7000,3492.446927374302,0.12
115,80,72,68.61710395182742,200000.0,63000.0,21.4,7000,3444.519553072626,0.14
115,80,67,51.57236381040482,198000.0,119000.0,21.5,7000,3444.519553072626,0.15
