OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP,BF
75,80,75,79.75271186257909,341000.0,97000.0,23.7,6000,833.5195530726256,0.0
75,80,72,68.61710395182742,322000.0,118000.0,23.2,6000,833.5195530726256,0.03
75,80,67,51.57236381040482,293000.0,151000.0,22.4,6000,833.5195530726256,0.07
75,80,62,36.22315701468787,266000.0,185000.0,21.8,6000,758.5027932960894,0.08
75,80,57,22.36175344552283,243000.0,218000.0,21.3,6000,758.5027932960894,0.09
75,80,75,79.75271186257909,361000.0,104000.0,24.3,7500,1316.9608938547487,0.03
75,80,72,68.61710395182742,340000.0,128000.0,23.7,7500,1150.2569832402235,0.07
75,80,67,51.57236381040482,309000.0,168000.0,22.9,7500,1150.2569832402235,0.09
75,80,62,36.22315701468787,282000.0,209000.0,22.2,7500,1150.2569832402235,0.1
75,80,57,22.36175344552283,260000.0,244000.0,21.6,7500,1066.9050279329608,0.15
75,80,75,79.75271186257909,375000.0,112000.0,24.8,9000,1762.8938547486034,0.05
75,80,72,68.61710395182742,353000.0,138000.0,24.2,9000,1762.8938547486034,0.1
75,80,67,51.57236381040482,321000.0,184000.0,23.2,9000,1587.854748603352,0.12
75,80,62,36.22315701468787,293000.0,231000.0,22.5,9000,1587.854748603352,0.12
75,80,57,22.36175344552283,273000.0,266000.0,21.9,9000,1500.3351955307262,0.21
75,80,75,79.75271186257909,385000.0,118000.0,25.1,10500,2369.2793296089385,0.1
75,80,72,68.61710395182742,363000.0,149000.0,24.5,10500,2369.2793296089385,0.13
75,80,67,51.57236381040482,330000.0,200000.0,23.5,10500,2190.072625698324,0.14
75,80,62,36.22315701468787,301000.0,252000.0,22.7,10500,2190.072625698324,0.15
75,80,57,22.36175344552283,283000.0,283000.0,22.2,10500,2190.072625698324,0.26
85,80,75,79.75271186257909,320000.0,78000.0,25.8,6000,833.5195530726256,0.0
85,80,72,68.61710395182742,301000.0,100000.0,25.3,6000,833.5195530726256,0.03
85,80,67,51.57236381040482,274000.0,135000.0,24.5,6000,758.5027932960894,0.07
