OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP,,
75,75,75,100,378000,134300,22.5,6000,983.5530726,,030
75,75,72,86.8608738,362000,146300,22.1,6000,983.5530726,,
75,75,67,66.74944445,334000,178500,21.3,6000,833.5195531,,
75,75,62,48.63860876,308000,208520,20.8,6000,833.5195531,,
75,75,57,32.28326182,282000,236860,20.5,6000,833.5195531,,
75,75,75,100,399000,133125,23,7500,1316.960894,,
75,75,72,86.8608738,379000,157125,22.5,7500,1316.960894,,
75,75,67,66.74944445,351000,190887.5,21.7,7500,1316.960894,,
75,75,62,48.63860876,325000,227650,21.2,7500,1150.256983,,
75,75,57,32.28326182,297000,258887.5,20.7,7500,1150.256983,,
75,75,75,100,412000,134950,23.4,9000,1948.351955,,
75,75,72,86.8608738,392000,159225,22.8,9000,1762.893855,,
75,75,67,66.74944445,363000,201760,22.1,9000,1762.893855,,
75,75,62,48.63860876,336000,244770,21.4,9000,1587.854749,,
75,75,57,32.28326182,312000,275730,21,9000,1587.854749,,
75,75,75,100,421000,138775,23.6,10500,2558.905028,,
75,75,72,86.8608738,401000,163107.5,23.1,10500,2558.905028,,
75,75,67,66.74944445,372000,210797.5,22.3,10500,2369.27933,,
75,75,62,48.63860876,345000,260642.5,21.6,10500,2190.072626,,
75,75,57,32.28326182,327000,288727.5,21.3,10500,2190.072626,,
85,85,75,63.56878019,367000,170700,24.7,6000,983.5530726,,
85,85,72,54.09934936,353000,185700,24.4,6000,983.5530726,,
85,85,67,39.60494643,326000,226830,23.7,6000,833.5195531,,
85,85,62,26.55238089,300000,258810,23.4,6000,833.5195531,,
85,85,57,14.76500445,273000,287140,23.2,6000,758.5027933,,
85,85,75,63.56878019,384000,180875,25.2,7500,1316.960894,,
85,85,72,54.09934936,369000,214350,24.8,7500,1316.960894,,
85,85,67,39.60494643,342000,253525,24.1,7500,1150.256983,,
85,85,62,26.55238089,316000,291350,23.7,7500,1150.256983,,
85,85,57,14.76500445,290000,312462.5,23.1,7500,1150.256983,,
85,85,75,63.56878019,396000,193050,25.6,9000,1762.893855,,
85,85,72,54.09934936,380000,227765,25.1,9000,1762.893855,,
85,85,67,39.60494643,353000,275240,24.4,9000,1762.893855,,
85,85,62,26.55238089,327000,321230,23.9,9000,1587.854749,,
85,85,57,14.76500445,305000,340775,23.6,9000,1587.854749,,
85,85,75,63.56878019,404000,206540,25.8,10500,2558.905028,,
85,85,72,54.09934936,389000,245470,25.3,10500,2369.27933,,
85,85,67,39.60494643,361000,297202.5,24.7,10500,2369.27933,,
85,85,62,26.55238089,335000,349357.5,24.1,10500,2190.072626,,
85,85,57,14.76500445,319000,356117.5,23.8,10500,2190.072626,,
95,95,75,40.20910644,357000,245000,27.4,6000,983.5530726,,
95,95,72,33.29467909,343000,261000,27.1,6000,833.5195531,,
